2021-05-07 01:59:24.006 [main] INFO  ir.sharif.aminra.Main - program started.
2021-05-07 01:59:31.126 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 10.json opened!
2021-05-07 01:59:31.142 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 10.json closed!
2021-05-07 01:59:31.143 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json opened!
2021-05-07 01:59:31.143 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json closed!
2021-05-07 01:59:31.144 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json opened.
2021-05-07 01:59:31.152 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json closed.
2021-05-07 01:59:31.152 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json opened.
2021-05-07 01:59:31.157 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json closed.
2021-05-07 01:59:31.158 [JavaFX Application Thread] INFO  ir.sharif.aminra.controller.enterPage.SignUpController - user aminra signed in.
2021-05-07 01:59:32.805 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json opened.
2021-05-07 01:59:32.812 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json closed.
2021-05-07 01:59:32.813 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 7.json opened.
2021-05-07 01:59:32.816 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 7.json closed.
2021-05-07 01:59:32.816 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json opened.
2021-05-07 01:59:32.822 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json closed.
2021-05-07 01:59:32.823 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 6.json opened.
2021-05-07 01:59:32.823 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 6.json closed.
2021-05-07 01:59:32.824 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json opened.
2021-05-07 01:59:32.828 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json closed.
2021-05-07 01:59:32.829 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 11.json opened.
2021-05-07 01:59:32.829 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 11.json closed.
2021-05-07 01:59:32.830 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 10.json opened.
2021-05-07 01:59:32.833 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 10.json closed.
2021-05-07 01:59:32.834 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 8.json opened.
2021-05-07 01:59:32.834 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 8.json closed.
2021-05-07 01:59:32.835 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json opened.
